buy_date,sell_date,symbol,buy_price,sell_price,shares,cost,proceeds,profit,pct_return,cash_after
2025-02-20,2025-02-27,SMCI,57.21,49.07,136,7780.56,6673.52,-1107.04,-0.14228281768921516,6693.800000000002
2025-02-21,2025-02-28,SWKS,64.64,63.6,103,6657.92,6550.8,-107.11999999999989,-0.016089108910891072,6586.680000000002
2025-02-24,2025-03-03,CDNS,261.8,253.01,25,6545.0,6325.25,-219.75,-0.033575248281130635,6366.930000000002
2025-02-25,2025-03-04,VST,138.85,122.48,45,6248.25,5511.6,-736.6499999999996,-0.11789701116312562,5630.2800000000025
2025-02-26,2025-03-05,VST,142.42,123.24,39,5554.379999999999,4806.36,-748.0199999999995,-0.1346720966156438,4882.260000000003
2025-02-27,2025-03-06,TSLA,291.16,272.06,16,4658.56,4352.96,-305.60000000000036,-0.0655996702843798,4576.660000000003
2025-02-28,2025-03-07,TSLA,279.5,259.32,16,4472.0,4149.12,-322.8800000000001,-0.07220035778175315,4253.7800000000025
2025-03-03,2025-03-10,GDDY,180.66,172.24,23,4155.18,3961.5200000000004,-193.65999999999985,-0.04660688586294694,4060.1200000000026
2025-03-04,2025-03-11,APA,17.82,18.33,227,4045.14,4160.91,115.76999999999998,0.028619528619528618,4175.890000000003
2025-03-05,2025-03-12,AXON,529.75,540.37,7,3708.25,3782.59,74.34000000000015,0.020047192071731987,4250.230000000003
2025-03-06,2025-03-13,AXON,522.85,558.81,8,4182.8,4470.48,287.6799999999994,0.0687768958592329,4537.910000000003
2025-03-07,2025-03-14,STX,85.43,85.52,53,4527.79,4532.5599999999995,4.769999999999527,0.0010534940887275087,4542.680000000002
2025-03-10,2025-03-17,AXON,508.39,552.72,8,4067.12,4421.76,354.6400000000003,0.08719683707390004,4897.320000000002
2025-03-11,2025-03-18,RL,217.8,222.16,22,4791.6,4887.5199999999995,95.91999999999916,0.020018365472910752,4993.240000000002
2025-03-12,2025-03-19,DAL,46.5,45.57,107,4975.5,4875.99,-99.51000000000022,-0.020000000000000046,4893.730000000001
2025-03-13,2025-03-20,EXPE,161.06,169.8,30,4831.8,5094.0,262.1999999999998,0.05426549112132121,5155.930000000001
2025-03-14,2025-03-21,AAPL,210.53,210.84,24,5052.72,5060.16,7.4399999999996,0.001472474231700866,5163.370000000001
2025-03-17,2025-03-24,AVGO,186.72,193.51,27,5041.44,5224.7699999999995,183.32999999999993,0.03636461011139673,5346.700000000001
2025-03-18,2025-03-25,TSLA,228.16,283.6,23,5247.68,6522.8,1275.12,0.24298737727910236,6621.820000000001
2025-03-19,2025-03-26,SMCI,38.79,40.3,170,6594.3,6850.999999999999,256.6999999999989,0.03892755864913621,6878.5199999999995
2025-03-20,2025-03-27,CEG,216.25,211.17,31,6703.75,6546.2699999999995,-157.48000000000047,-0.02349132947976886,6721.039999999999
2025-03-21,2025-03-28,TSLA,234.99,275.58,28,6579.72,7716.24,1136.5199999999995,0.17273075450019143,7857.559999999999
2025-03-24,2025-03-31,IBKR,44.38,39.66,177,7855.26,7019.82,-835.4400000000005,-0.10635421360973418,7022.119999999998
2025-03-25,2025-04-01,TER,89.95,81.61,78,7016.1,6365.58,-650.5200000000004,-0.09271817676486943,6371.599999999998
2025-03-26,2025-04-02,ADBE,403.0,378.28,15,6045.0,5674.2,-370.8000000000002,-0.06133995037220847,6000.799999999997
2025-03-27,2025-04-03,ADBE,397.44,371.88,15,5961.6,5578.2,-383.40000000000055,-0.06431159420289864,5617.399999999997
2025-03-28,2025-04-04,APP,286.81,243.38,19,5449.39,4624.22,-825.1700000000001,-0.15142428785607198,4792.229999999997
2025-03-31,2025-04-07,TTD,54.43,44.33,88,4789.84,3901.04,-888.8000000000002,-0.18555943413558704,3903.4299999999967
2025-04-01,2025-04-08,LULU,282.23,269.41,13,3668.9900000000002,3502.3300000000004,-166.65999999999985,-0.04542394500938946,3736.769999999997
2025-04-02,2025-04-09,MRNA,26.79,24.01,139,3723.81,3337.3900000000003,-386.4199999999996,-0.10377006345651352,3350.349999999997
2025-04-03,2025-04-10,MRNA,26.66,25.82,125,3332.5,3227.5,-105.0,-0.03150787696924231,3245.349999999997
2025-04-04,2025-04-11,MRNA,25.19,24.69,128,3224.32,3160.32,-64.0,-0.01984914648670107,3181.349999999997
2025-04-07,2025-04-14,SNDK,29.22,33.75,108,3155.7599999999998,3645.0,489.24000000000024,0.1550308008213553,3670.5899999999974
2025-04-08,2025-04-15,SNDK,33.0,33.3,111,3663.0,3696.2999999999997,33.29999999999973,0.009090909090909016,3703.889999999997
2025-04-09,2025-04-16,IDXX,356.98,400.7,10,3569.8,4007.0,437.1999999999998,0.12247184716230596,4141.0899999999965
2025-04-10,2025-04-17,CBRE,118.14,116.82,35,4134.9,4088.7,-46.19999999999982,-0.011173184357541856,4094.8899999999967
2025-04-11,2025-04-21,VLO,106.53,105.72,38,4048.14,4017.36,-30.779999999999745,-0.007603491974091743,4064.109999999997
2025-04-14,2025-04-22,SMCI,35.03,30.08,116,4063.48,3489.2799999999997,-574.2000000000003,-0.1413074507564945,3489.9099999999967
2025-04-15,2025-04-23,SMCI,33.22,33.02,105,3488.1,3467.1000000000004,-20.999999999999545,-0.006020469596628407,3468.909999999997
2025-04-16,2025-04-24,WSM,139.43,144.74,24,3346.32,3473.76,127.44000000000005,0.0380836261923546,3596.349999999997
